student_id,gender,age,study_hours,attendance_pct,sleep_hours,final_score,passed
STU0001,Male,17,7.3,59.3,7.1,55.7,0
STU0002,Female,15,5.8,77.1,6.9,54.8,0
STU0003,Male,15,3.8,93.6,4.2,94.4,1
STU0004,Male,18,8.3,86.6,6.0,55.0,0
STU0005,Male,17,7.2,90.3,6.3,56.3,0
STU0006,Female,15,2.5,82.9,6.4,85.6,1
STU0007,Male,18,9.2,84.6,7.5,67.0,1
STU0008,Male,17,8.4,92.5,7.2,86.6,1
STU0009,Male,18,9.5,62.5,7.6,43.9,0
STU0010,Female,16,7.5,74.5,8.6,69.3,1
STU0011,Male,15,6.5,61.1,8.9,42.0,0
STU0012,Male,16,4.8,99.4,8.3,43.8,0
STU0013,Male,17,9.4,97.2,9.7,94.4,1
STU0014,Male,16,8.8,52.0,4.1,48.4,0
STU0015,Female,16,1.4,85.3,5.2,71.9,1
STU0016,Male,17,1.2,96.3,4.0,64.7,1
STU0017,Female,18,4.4,59.0,7.9,60.8,1
STU0018,Female,16,8.3,78.4,9.4,94.0,1
STU0019,Female,18,9.9,95.8,5.5,41.3,0
STU0020,Male,16,2.4,77.15,9.6,79.8,1
STU0021,Female,18,6.3,84.9,4.4,97.8,1
STU0022,Male,17,4.4,64.9,9.6,73.6,1
STU0023,Female,16,9.7,96.2,6.1,96.2,1
STU0024,Female,17,8.6,98.6,4.6,43.1,0
STU0025,Female,16,8.5,97.2,6.9,65.1,1
STU0026,Female,17,5.2,73.7,5.5,55.6,0
STU0027,Female,17,4.7,93.1,5.7,83.8,1
STU0028,Female,16,3.5,92.2,5.8,98.9,1
STU0029,Female,16,1.5,66.0,8.8,55.4,0
STU0030,Female,16,8.8,91.4,7.2,79.3,1
STU0031,Male,15,8.3,51.9,5.9,51.9,0
STU0032,Male,18,10.0,79.8,7.7,73.9,1
STU0033,Female,15,10.0,61.5,8.3,67.8,1
STU0034,Female,15,6.0,56.0,5.6,98.3,1
STU0035,Female,17,7.9,53.8,6.5,76.5,1
STU0036,Male,16,9.5,84.8,4.7,61.0,1
STU0037,Female,18,8.6,67.0,5.1,46.8,0
STU0038,Male,17,3.2,86.2,8.1,49.1,0
STU0039,Male,15,5.1,53.3,5.1,53.5,0
STU0040,Male,16,2.2,65.8,7.2,55.1,0
STU0041,Male,17,9.6,77.0,8.3,91.0,1
STU0042,Male,16,6.5,89.5,4.6,73.7,1
STU0043,Female,17,3.1,65.9,7.4,71.4,1
STU0044,Female,16,7.0,81.3,5.5,46.9,0
STU0045,Female,15,6.6,94.3,9.8,91.6,1
STU0046,Female,18,4.2,80.8,6.9,83.4,1
STU0047,Female,15,2.0,61.6,8.8,44.1,0
STU0048,Male,18,7.0,51.2,7.3,82.5,1
STU0049,Female,16,5.7,93.5,4.3,72.6,1
STU0050,Female,17,8.0,51.1,7.8,44.9,0
STU0051,Male,15,5.7,93.7,9.7,67.5,1
STU0052,Female,18,8.7,76.4,7.6,69.1,1
STU0053,Male,15,6.0,97.0,8.9,49.9,0
STU0054,Female,18,6.0,89.9,9.3,96.7,1
STU0055,Male,15,8.9,99.9,5.4,91.0,1
STU0056,Female,18,4.6,67.5,5.3,80.1,1
STU0057,Female,18,2.2,88.4,7.7,67.7,1
STU0058,Male,16,1.3,77.15,6.5,64.7,1
STU0059,Male,18,7.8,74.0,9.0,79.1,1
STU0060,Male,16,6.6,77.15,9.4,72.7,1
STU0061,Male,18,7.3,93.7,6.1,43.7,0
STU0062,Male,17,2.9,99.2,5.4,70.8,1
STU0063,Male,17,2.2,88.4,8.7,88.4,1
STU0064,Male,17,1.1,70.9,5.6,67.6,1
STU0065,Male,18,4.2,71.1,8.9,43.1,0
STU0066,Female,16,6.3,86.9,6.5,87.2,1
STU0067,Female,16,4.5,61.9,8.0,52.1,0
STU0068,Male,18,4.9,55.5,4.6,55.5,0
STU0069,Female,17,9.1,67.7,7.7,49.9,0
STU0070,Female,17,4.1,64.4,6.7,59.8,0
STU0071,Female,16,5.6,77.15,7.5,85.4,1
STU0072,Female,17,8.1,61.7,5.0,71.2,1
STU0073,Male,15,4.6,77.15,8.4,52.3,0
STU0074,Female,16,6.6,50.9,9.2,92.7,1
STU0075,Male,17,8.8,99.4,5.3,92.8,1
STU0076,Female,16,9.5,71.4,4.6,92.2,1
STU0077,Female,15,2.3,69.2,4.1,54.3,0
STU0078,Female,16,9.3,84.0,7.9,67.1,1
STU0079,Male,16,5.4,60.9,7.6,99.1,1
STU0080,Female,16,3.3,77.15,7.3,86.3,1
STU0081,Male,16,5.1,89.3,5.4,41.6,0
STU0082,Female,15,9.8,54.5,6.3,43.9,0
STU0083,Male,18,5.4,70.9,7.6,67.8,1
STU0084,Female,16,4.0,94.0,7.0,94.6,1
STU0085,Male,16,6.7,77.15,9.9,72.3,1
STU0086,Male,17,3.2,73.4,4.8,69.9,1
STU0087,Female,16,1.7,77.15,8.2,46.3,0
STU0088,Male,17,2.2,58.4,6.4,79.4,1
STU0089,Female,18,2.2,99.6,6.6,89.3,1
STU0090,Female,15,2.4,61.6,8.3,62.8,1
STU0091,Female,15,2.2,77.15,8.2,86.5,1
STU0092,Female,18,6.8,82.5,9.9,97.9,1
STU0093,Female,15,2.6,80.4,4.8,52.2,0
STU0094,Female,18,4.1,75.6,4.6,71.4,1
STU0095,Female,18,9.1,61.5,8.3,57.2,0
STU0096,Female,18,5.3,58.8,7.5,87.6,1
STU0097,Female,15,7.0,61.0,5.6,74.7,1
STU0098,Female,17,2.6,59.3,4.5,78.1,1
STU0099,Female,18,2.7,89.0,4.5,87.9,1
STU0100,Male,16,1.4,67.5,9.4,63.8,1
STU0101,Male,15,2.5,52.9,5.2,94.9,1
STU0102,Female,18,3.5,98.5,5.9,72.0,1
STU0103,Female,18,2.6,77.15,5.4,49.5,0
STU0104,Female,16,1.8,96.4,6.1,81.8,1
STU0105,Female,17,2.1,99.7,4.4,87.6,1
STU0106,Female,17,5.1,58.7,7.1,59.0,0
STU0107,Female,17,2.9,69.8,4.4,91.4,1
STU0108,Female,18,4.3,87.9,8.8,94.4,1
STU0109,Female,18,5.5,84.8,5.4,56.6,0
STU0110,Male,18,7.2,77.15,7.2,99.0,1
STU0111,Female,15,1.4,90.8,9.3,48.4,0
STU0112,Male,16,8.2,61.2,7.9,52.1,0
STU0113,Female,18,6.7,61.2,7.2,51.1,0
STU0114,Female,16,1.7,76.8,5.9,93.6,1
STU0115,Male,16,8.9,79.6,6.0,79.3,1
STU0116,Female,17,9.3,79.0,8.0,49.1,0
STU0117,Male,15,1.5,54.6,10.0,66.4,1
STU0118,Female,18,3.5,93.9,8.0,76.9,1
STU0119,Female,17,8.3,63.3,7.3,45.0,0
STU0120,Male,17,7.7,56.5,8.4,92.9,1
STU0121,Female,18,2.7,94.4,6.8,88.2,1
STU0122,Male,16,2.9,97.8,4.4,70.3,1
STU0123,Female,17,4.3,93.1,7.4,98.0,1
STU0124,Male,16,5.4,90.5,9.7,65.1,1
STU0125,Male,15,6.6,82.8,5.1,99.0,1
STU0126,Female,16,4.3,77.5,8.1,80.1,1
STU0127,Female,15,5.2,54.3,5.2,78.1,1
STU0128,Male,16,7.7,70.4,7.2,50.0,0
STU0129,Female,17,1.3,77.15,4.6,92.9,1
STU0130,Female,17,3.3,77.15,6.7,65.6,1
STU0131,Female,15,7.4,86.2,8.5,49.7,0
STU0132,Male,18,9.1,74.8,6.1,40.8,0
STU0133,Male,15,5.6,54.1,8.0,73.6,1
STU0134,Male,15,5.8,61.0,8.8,71.6,1
STU0135,Male,16,2.0,84.2,9.6,83.2,1
STU0136,Male,16,5.0,53.8,5.4,93.4,1
STU0137,Male,15,5.8,92.6,6.4,44.8,0
STU0138,Male,17,3.2,74.8,4.9,83.9,1
